"counter","city_name","county_code"
"1","Nairobi","47"
"2","Mombasa","1"
"3","Nakuru","32"
"4","Ruiru","22"
"5","Eldoret","27"
"6","Kisumu","42"
"7","Kikuyu","22"
"8","Thika","22"
"9","Naivasha","32"
"10","Karuri","22"
"11","Ongata Rongai","34"
"12","Malindi","3"
"13","Naivasha","32"
"14","Kitui","15"
"15","Machakos","16"
"16","Mlolongo","16"
"17","Athi River (Mavoko)","16"
"18","Karuri","22"
"19","Kilifi","3"
"20","Garissa","7"
"21","Vihiga","38"
"22","Wote","17"
"23","Mumias","37"
"24","Bomet","36"
"25","Molo","32"
"26","Ngong","34"
"27","Kitale","26"
"28","Litein","35"
"29","Limuru","22"
"30","Kericho","35"
"31","Kimilili","39"
"32","Awasi","42"
"33","Kakamega","37"
"34","Kapsabet","29"
"35","Mariakani","3"
"36","Kiambu","22"
"37","Mandera","9"
"38","Nyamira","46"
"39","Mwingi","15"
"40","Kisii","45"
"41","Wajir","8"
"42","Rongo","44"
"43","Bungoma","39"
"44","Ahero","42"
"45","Nandi Hills","29"
"46","Makuyu","21"
"47","Kapenguria","24"
"48","Taveta","6"
"49","Narok","33"
"50","Ol Kalou","18"
"51","Kakuma","23"
"52","Webuye","39"
"53","Malaba","40"
"54","Mbita Point","43"
"55","Ukunda","2"
"56","Wundanyi","6"
"57","Busia","40"
"58","Runyenjes","14"
"59","Migori","44"
"60","Malava","37"
"61","Suneka","45"
"62","Embu","14"
"63","Ogembo","45"
"64","Homa Bay","43"
"65","Lodwar","23"
"66","Kitengela","34"
"67","Ukwala","41"
"68","Keroka","46"
"69","Matuu","16"
"70","Oyugis","43"
"71","Nyahururu","31"
"72","Kipkelion","35"
"73","Luanda","38"
"74","Nanyuki","31"
"75","Maua","11"
"76","Mtwapa","3"
"77","Isiolo","11"
"78","Eldama Ravine","30"
"79","Voi","6"
"80","Siaya","41"
"81","Nyansiongo","46"
"82","Londiani","35"
"83","Iten/Tambach","28"
"84","Chuka","13"
"85","Malakisi","39"
"86","Juja","22"
"87","Ongata Rongai","34"
"88","Bondo","41"
"89","Moyale","10"
"90","Maralal","25"
"91","Gilgil","32"
"92","Nambale","40"
"93","Tabaka","45"
"94","Muhoroni","42"
"95","Kerugoya/Kutus","20"
"96","Ugunja","41"
"97","Yala","41"
"98","Rumuruti","31"
"99","Burnt Forest","27"
"100","Maragua","21"
"101","Kendu Bay","43"
"102","Ruai","47"
"103","Kamulu","47"
