"counter","county_name","county_code"
"1","Mombasa","1"
"2","Kwale","2"
"3","Kilifi","3"
"4","Tana River","4"
"5","Lamu","5"
"6","Taita-Taveta","6"
"7","Garissa","7"
"8","Wajir","8"
"9","Mandera","9"
"10","Marsabit","10"
"11","Isiolo","11"
"12","Meru","12"
"13","Tharaka-Nithi","13"
"14","Embu","14"
"15","Kitui","15"
"16","Machakos","16"
"17","Makueni","17"
"18","Nyandarua","18"
"19","Nyeri","19"
"20","Kirinyaga","20"
"21","Murang'a","21"
"22","Kiambu","22"
"23","Turkana","23"
"24","West Pokot","24"
"25","Samburu","25"
"26","Trans-Nzoia","26"
"27","Uasin Gishu","27"
"28","Elgeyo-Marakwet","28"
"29","Nandi","29"
"30","Baringo","30"
"31","Laikipia","31"
"32","Nakuru","32"
"33","Narok","33"
"34","Kajiado","34"
"35","Kericho","35"
"36","Bomet","36"
"37","Kakamega","37"
"38","Vihiga","38"
"39","Bungoma","39"
"40","Busia","40"
"41","Siaya","41"
"42","Kisumu","42"
"43","Homa Bay","43"
"44","Migori","44"
"45","Kisii","45"
"46","Nyamira","46"
"47","Nairobi","47"
